"Time Study from ","2020-11-20 11:49:48"
"Statistic values","Lap time","IM","TMU","DM","HM","CYCLE"
"Averages","00:06,244","0,17","0,10","9","173","16"
"Min values","00:00,567","0,02","0,01","0","16","1"
"Min values","00:59,705","1,66","1,00","99","1658","106"
"Lap No","Time","Total time","Seconds consecutive","Lap time","IMa","TMU","DMa","HM","CYCLE","LONG_LAP_UPDATED_TIME (can be deleted by user)","LONG_UPDATED_TIME (can be deleted by user)"
"1","11:22:20","00:01,102","1","00:01,102","0,030611","30,611111","0,018367","1","54,446461","1102","1102"
"2","11:22:23","00:03,831","3","00:02,729","0,075806","75,805557","0,045483","4","21,986074","2729","3831"
"3","11:22:24","00:05,014","5","00:01,183","0,032861","32,861111","0,019717","1","50,718510","1183","5014"
"4","11:22:26","00:06,796","6","00:01,782","0,049500","49,500000","0,029700","2","33,670033","1782","6796"
"5","11:22:29","00:09,733","9","00:02,937","0,081583","81,583336","0,048950","4","20,429008","2937","9733"
"6","11:22:30","00:11,215","11","00:01,482","0,041167","41,166668","0,024700","2","40,485832","1482","11215"
"7","11:22:36","00:16,427","16","00:05,212","0,144778","144,777771","0,086867","8","11,511896","5212","16427"
"8","11:22:40","00:20,512","20","00:04,085","0,113472","113,472221","0,068083","6","14,687883","4085","20512"
"9","11:22:42","00:23,043","23","00:02,531","0,070306","70,305557","0,042183","4","23,706045","2531","23043"
"10","11:22:49","00:29,620","29","00:06,577","0,182694","182,694443","0,109617","10","9,122701","6577","29620"
"11","11:22:50","00:30,437","30","00:00,817","0,022694","22,694445","0,013617","1","73,439415","817","30437"
"12","11:22:55","00:35,672","35","00:05,235","0,145417","145,416672","0,087250","8","11,461318","5235","35672"
"13","11:23:03","00:43,786","43","00:08,114","0,225389","225,388885","0,135233","13","7,394626","8114","43786"
"14","11:23:19","01:00,344","60","00:16,558","0,459944","459,944458","0,275967","27","3,623626","16558","60344"
"15","11:23:21","01:02,171","62","00:01,827","0,050750","50,750000","0,030450","3","32,840725","1827","62171"
"16","11:23:24","01:04,972","64","00:02,801","0,077806","77,805557","0,046683","4","21,420921","2801","64972"
"17","11:23:26","01:06,736","66","00:01,764","0,049000","49,000000","0,029400","2","34,013603","1764","66736"
"18","11:23:31","01:11,467","71","00:04,731","0,131417","131,416672","0,078850","7","12,682308","4731","71467"
"19","11:23:38","01:19,185","79","00:07,718","0,214389","214,388885","0,128633","12","7,774035","7718","79185"
"20","11:23:41","01:21,834","81","00:02,649","0,073583","73,583336","0,044150","4","22,650057","2649","81834"
"21","11:23:46","01:26,461","86","00:04,627","0,128528","128,527771","0,077117","7","12,967366","4627","86461"
"22","11:23:50","01:30,859","90","00:04,398","0,122167","122,166664","0,073300","7","13,642566","4398","90859"
"23","11:23:53","01:33,496","93","00:02,637","0,073250","73,250000","0,043950","4","22,753128","2637","93496"
"24","11:24:03","01:44,274","104","00:10,778","0,299389","299,388885","0,179633","17","5,566895","10778","104274"
"25","11:24:17","01:57,613","117","00:13,339","0,370528","370,527771","0,222317","22","4,498088","13339","117613"
"26","11:24:24","02:05,027","125","00:07,414","0,205944","205,944443","0,123567","12","8,092797","7414","125027"
"27","11:24:38","02:18,692","138","00:13,665","0,379583","379,583344","0,227750","22","4,390779","13665","138692"
"28","11:24:46","02:26,555","146","00:07,863","0,218417","218,416672","0,131050","13","7,630675","7863","146555"
"29","11:24:50","02:30,665","150","00:04,110","0,114167","114,166664","0,068500","6","14,598539","4110","150665"
"30","11:24:54","02:34,613","154","00:03,948","0,109667","109,666664","0,065800","6","15,197569","3948","154613"
"31","11:25:05","02:45,541","165","00:10,928","0,303556","303,555542","0,182133","18","5,490483","10928","165541"
"32","11:25:11","02:51,411","171","00:05,870","0,163056","163,055557","0,097833","9","10,221466","5870","171411"
"33","11:25:13","02:54,142","174","00:02,731","0,075861","75,861115","0,045517","4","21,969975","2731","174142"
"34","11:25:18","02:58,673","178","00:04,531","0,125861","125,861115","0,075517","7","13,242109","4531","178673"
"35","11:25:20","03:00,553","180","00:01,880","0,052222","52,222221","0,031333","3","31,914892","1880","180553"
"36","11:25:24","03:05,283","185","00:04,730","0,131389","131,388885","0,078833","7","12,684989","4730","185283"
"37","11:25:33","03:13,567","193","00:08,284","0,230111","230,111115","0,138067","13","7,242877","8284","193567"
"38","11:25:47","03:27,789","207","00:14,222","0,395056","395,055542","0,237033","23","4,218816","14222","207789"
