"Time Study from ","2020-11-20 12:38:16"
"Statistic values","Lap time","IM","TMU","DM","HM","CYCLE"
"Averages","00:04,353","0,12","0,07","6","121","23"
"Min values","00:00,749","0,02","0,01","1","21","1"
"Min values","00:45,895","1,27","0,76","76","1275","80"
"Lap No","Time","Total time","Seconds consecutive","Lap time","IMa","TMU","DMa","HM","CYCLE","LONG_LAP_UPDATED_TIME (can be deleted by user)","LONG_UPDATED_TIME (can be deleted by user)"
"1","12:07:59","00:03,226","3","00:03,226","0,089611","89,611115","0,053767","5","18,598885","3226","3226"
"2","12:08:01","00:05,372","5","00:02,146","0,059611","59,611111","0,035767","3","27,958994","2146","5372"
"3","12:08:07","00:11,620","11","00:06,248","0,173556","173,555557","0,104133","10","9,603072","6248","11620"
"4","12:08:09","00:13,070","13","00:01,450","0,040278","40,277779","0,024167","2","41,379307","1450","13070"
"5","12:08:10","00:14,936","14","00:01,866","0,051833","51,833332","0,031100","3","32,154339","1866","14936"
"6","12:08:11","00:15,839","15","00:00,903","0,025083","25,083334","0,015050","1","66,445183","903","15839"
"7","12:08:20","00:24,598","24","00:08,759","0,243306","243,305557","0,145983","14","6,850098","8759","24598"
"8","12:08:22","00:26,848","26","00:02,250","0,062500","62,500000","0,037500","3","26,666666","2250","26848"
"9","12:08:24","00:28,812","28","00:01,964","0,054556","54,555557","0,032733","3","30,549898","1964","28812"
"10","12:08:27","00:31,078","31","00:02,266","0,062944","62,944443","0,037767","3","26,478374","2266","31078"
"11","12:08:28","00:32,161","32","00:01,083","0,030083","30,083334","0,018050","1","55,401669","1083","32161"
"12","12:08:30","00:34,127","34","00:01,966","0,054611","54,611111","0,032767","3","30,518820","1966","34127"
"13","12:08:33","00:37,359","37","00:03,232","0,089778","89,777779","0,053867","5","18,564356","3232","37359"
"14","12:08:35","00:39,842","39","00:02,483","0,068972","68,972221","0,041383","4","24,164318","2483","39842"
"15","12:08:40","00:44,472","44","00:04,630","0,128611","128,611115","0,077167","7","12,958962","4630","44472"
"16","12:08:44","00:48,171","48","00:03,699","0,102750","102,750000","0,061650","6","16,220600","3699","48171"
"17","12:08:46","00:50,537","50","00:02,366","0,065722","65,722221","0,039433","3","25,359255","2366","50537"
"18","12:09:11","01:16,025","76","00:25,488","0,708000","708,000000","0,424800","42","2,354049","25488","76025"
"19","12:09:15","01:19,206","79","00:03,181","0,088361","88,361115","0,053017","5","18,861994","3181","79206"
"20","12:09:16","01:20,906","80","00:01,700","0,047222","47,222221","0,028333","2","35,294117","1700","80906"
"21","12:09:22","01:26,242","86","00:05,336","0,148222","148,222229","0,088933","8","11,244378","5336","86242"
"22","12:09:25","01:29,185","89","00:02,943","0,081750","81,750000","0,049050","4","20,387360","2943","89185"
"23","12:09:29","01:33,750","93","00:04,565","0,126806","126,805557","0,076083","7","13,143483","4565","93750"
"24","12:09:32","01:36,415","96","00:02,665","0,074028","74,027779","0,044417","4","22,514072","2665","96415"
"25","12:09:36","01:40,198","100","00:03,783","0,105083","105,083336","0,063050","6","15,860428","3783","100198"
"26","12:09:39","01:43,201","103","00:03,003","0,083417","83,416664","0,050050","5","19,980019","3003","103201"
"27","12:09:49","01:53,541","113","00:10,340","0,287222","287,222229","0,172333","17","5,802708","10340","113541"
"28","12:09:51","01:55,907","115","00:02,366","0,065722","65,722221","0,039433","3","25,359255","2366","115907"
"29","12:09:54","01:58,572","118","00:02,665","0,074028","74,027779","0,044417","4","22,514072","2665","118572"
"30","12:09:56","02:00,523","120","00:01,951","0,054194","54,194443","0,032517","3","30,753460","1951","120523"
"31","12:09:57","02:01,639","121","00:01,116","0,031000","31,000000","0,018600","1","53,763439","1116","121639"
"32","12:10:03","02:07,486","127","00:05,847","0,162417","162,416672","0,097450","9","10,261672","5847","127486"
"33","12:10:10","02:14,998","134","00:07,512","0,208667","208,666672","0,125200","12","7,987220","7512","134998"
"34","12:10:13","02:17,148","137","00:02,150","0,059722","59,722221","0,035833","3","27,906975","2150","137148"
"35","12:10:14","02:18,096","138","00:00,948","0,026333","26,333334","0,015800","1","63,291134","948","138096"
"36","12:10:23","02:27,026","147","00:08,930","0,248056","248,055557","0,148833","14","6,718925","8930","147026"
"37","12:10:25","02:29,624","149","00:02,598","0,072167","72,166664","0,043300","4","23,094688","2598","149624"
"38","12:10:27","02:31,224","151","00:01,600","0,044444","44,444443","0,026667","2","37,500000","1600","151224"
"39","12:10:28","02:32,390","152","00:01,166","0,032389","32,388889","0,019433","1","51,457977","1166","152390"
"40","12:10:51","02:55,146","175","00:22,756","0,632111","632,111084","0,379267","37","2,636667","22756","175146"
"41","12:10:54","02:58,261","178","00:03,115","0,086528","86,527779","0,051917","5","19,261637","3115","178261"
"42","12:10:56","03:00,677","180","00:02,416","0,067111","67,111115","0,040267","4","24,834436","2416","180677"
"43","12:10:58","03:02,609","182","00:01,932","0,053667","53,666668","0,032200","3","31,055899","1932","182609"
"44","12:11:01","03:05,475","185","00:02,866","0,079611","79,611115","0,047767","4","20,935101","2866","185475"
"45","12:11:06","03:10,956","190","00:05,481","0,152250","152,250000","0,091350","9","10,946908","5481","190956"
"46","12:11:15","03:19,419","199","00:08,463","0,235083","235,083328","0,141050","14","7,089684","8463","199419"
"47","12:11:19","03:23,601","203","00:04,182","0,116167","116,166664","0,069700","6","14,347201","4182","203601"
"48","12:11:29","03:33,395","213","00:09,794","0,272056","272,055542","0,163233","16","6,126200","9794","213395"
"49","12:11:32","03:36,728","216","00:03,333","0,092583","92,583336","0,055550","5","18,001801","3333","216728"
"50","12:11:36","03:41,009","221","00:04,281","0,118917","118,916664","0,071350","7","14,015417","4281","221009"
"51","12:11:39","03:43,807","223","00:02,798","0,077722","77,722221","0,046633","4","21,443888","2798","223807"
"52","12:11:44","03:48,888","228","00:05,081","0,141139","141,138885","0,084683","8","11,808700","5081","228888"
"53","12:11:48","03:52,270","232","00:03,382","0,093944","93,944443","0,056367","5","17,740982","3382","232270"
"54","12:11:51","03:55,535","235","00:03,265","0,090694","90,694443","0,054417","5","18,376722","3265","235535"
"55","12:11:53","03:57,867","237","00:02,332","0,064778","64,777779","0,038867","3","25,728989","2332","237867"
"56","12:11:56","04:00,517","240","00:02,650","0,073611","73,611115","0,044167","4","22,641508","2650","240517"
"57","12:12:01","04:05,031","245","00:04,514","0,125389","125,388885","0,075233","7","13,291981","4514","245031"
"58","12:12:15","04:19,208","259","00:14,177","0,393806","393,805542","0,236283","23","4,232207","14177","259208"
"59","12:12:20","04:24,889","264","00:05,681","0,157806","157,805557","0,094683","9","10,561521","5681","264889"
"60","12:12:29","04:33,320","273","00:08,431","0,234194","234,194443","0,140517","14","7,116593","8431","273320"
"61","12:12:35","04:39,117","279","00:05,797","0,161028","161,027771","0,096617","9","10,350182","5797","279117"
"62","12:12:45","04:49,228","289","00:10,111","0,280861","280,861115","0,168517","16","5,934131","10111","289228"
"63","12:12:51","04:55,875","295","00:06,647","0,184639","184,638885","0,110783","11","9,026628","6647","295875"
"64","12:12:54","04:58,858","298","00:02,983","0,082861","82,861115","0,049717","4","20,113979","2983","298858"
"65","12:12:58","05:02,232","302","00:03,374","0,093722","93,722221","0,056233","5","17,783047","3374","302232"
"66","12:13:01","05:05,054","305","00:02,822","0,078389","78,388885","0,047033","4","21,261517","2822","305054"
"67","12:13:05","05:09,119","309","00:04,065","0,112917","112,916664","0,067750","6","14,760148","4065","309119"
"68","12:13:11","05:15,166","315","00:06,047","0,167972","167,972229","0,100783","10","9,922276","6047","315166"
"69","12:13:13","05:17,215","317","00:02,049","0,056917","56,916668","0,034150","3","29,282576","2049","317215"
"70","12:13:15","05:19,148","319","00:01,933","0,053694","53,694443","0,032217","3","31,039837","1933","319148"
"71","12:13:19","05:23,314","323","00:04,166","0,115722","115,722221","0,069433","6","14,402305","4166","323314"
"72","12:13:23","05:27,912","327","00:04,598","0,127722","127,722221","0,076633","7","13,049151","4598","327912"
"73","12:13:25","05:29,811","329","00:01,899","0,052750","52,750000","0,031650","3","31,595577","1899","329811"
"74","12:13:29","05:33,525","333","00:03,714","0,103167","103,166664","0,061900","6","16,155088","3714","333525"
"75","12:13:31","05:35,873","335","00:02,348","0,065222","65,222221","0,039133","3","25,553663","2348","335873"
"76","12:13:35","05:39,588","339","00:03,715","0,103194","103,194443","0,061917","6","16,150742","3715","339588"
"77","12:13:41","05:45,686","345","00:06,098","0,169389","169,388885","0,101633","10","9,839292","6098","345686"
"78","12:13:47","05:51,249","351","00:05,563","0,154528","154,527771","0,092717","9","10,785547","5563","351249"
"79","12:13:53","05:57,097","357","00:05,848","0,162444","162,444443","0,097467","9","10,259917","5848","357097"
"80","12:13:55","05:59,065","359","00:01,968","0,054667","54,666668","0,032800","3","30,487804","1968","359065"
"81","12:13:57","06:01,545","361","00:02,480","0,068889","68,888885","0,041333","4","24,193548","2480","361545"
"82","12:14:01","06:05,677","365","00:04,132","0,114778","114,777779","0,068867","6","14,520814","4132","365677"
"83","12:14:03","06:07,376","367","00:01,699","0,047194","47,194443","0,028317","2","35,314892","1699","367376"
"84","12:14:06","06:10,724","370","00:03,348","0,093000","93,000000","0,055800","5","17,921146","3348","370724"
"85","12:14:09","06:13,075","373","00:02,351","0,065306","65,305557","0,039183","3","25,521055","2351","373075"
"86","12:14:11","06:15,890","375","00:02,815","0,078194","78,194443","0,046917","4","21,314386","2815","375890"
"87","12:14:14","06:18,554","378","00:02,664","0,074000","74,000000","0,044400","4","22,522524","2664","378554"
"88","12:14:16","06:20,903","380","00:02,349","0,065250","65,250000","0,039150","3","25,542784","2349","380903"
"89","12:14:18","06:22,853","382","00:01,950","0,054167","54,166668","0,032500","3","30,769228","1950","382853"
"90","12:14:20","06:24,219","384","00:01,366","0,037944","37,944443","0,022767","2","43,923862","1366","384219"
"91","12:14:23","06:27,217","387","00:02,998","0,083278","83,277779","0,049967","4","20,013342","2998","387217"
"92","12:14:28","06:32,932","392","00:05,715","0,158750","158,750000","0,095250","9","10,498688","5715","392932"
"93","12:14:31","06:35,780","395","00:02,848","0,079111","79,111115","0,047467","4","21,067415","2848","395780"
"94","12:14:35","06:39,196","399","00:03,416","0,094889","94,888885","0,056933","5","17,564404","3416","399196"
"95","12:14:38","06:42,343","402","00:03,147","0,087417","87,416664","0,052450","5","19,065777","3147","402343"
"96","12:14:41","06:45,492","405","00:03,149","0,087472","87,472221","0,052483","5","19,053669","3149","405492"
"97","12:14:47","06:51,589","411","00:06,097","0,169361","169,361115","0,101617","10","9,840905","6097","411589"
"98","12:14:59","07:03,218","423","00:11,629","0,323028","323,027771","0,193817","19","5,159515","11629","423218"
"99","12:15:03","07:07,815","427","00:04,597","0,127694","127,694443","0,076617","7","13,051991","4597","427815"
"100","12:15:06","07:10,647","430","00:02,832","0,078667","78,666664","0,047200","4","21,186440","2832","430647"
"101","12:15:08","07:12,246","432","00:01,599","0,044417","44,416668","0,026650","2","37,523453","1599","432246"
"102","12:15:13","07:17,877","437","00:05,631","0,156417","156,416672","0,093850","9","10,655301","5631","437877"
"103","12:15:21","07:25,408","445","00:07,531","0,209194","209,194443","0,125517","12","7,967069","7531","445408"
"104","12:15:25","07:30,005","450","00:04,597","0,127694","127,694443","0,076617","7","13,051991","4597","450005"
